"city","year","weekofyear","total_cases"
"sj",2008,18,6
"sj",2008,19,7
"sj",2008,20,8
"sj",2008,21,19
"sj",2008,22,12
"sj",2008,23,18
"sj",2008,24,14
"sj",2008,25,27
"sj",2008,26,29
"sj",2008,27,33
"sj",2008,28,32
"sj",2008,29,34
"sj",2008,30,43
"sj",2008,31,52
"sj",2008,32,62
"sj",2008,33,73
"sj",2008,34,56
"sj",2008,35,74
"sj",2008,36,88
"sj",2008,37,77
"sj",2008,38,74
"sj",2008,39,46
"sj",2008,40,48
"sj",2008,41,58
"sj",2008,42,42
"sj",2008,43,33
"sj",2008,44,36
"sj",2008,45,42
"sj",2008,46,40
"sj",2008,47,29
"sj",2008,48,25
"sj",2008,49,22
"sj",2008,50,16
"sj",2008,51,19
"sj",2008,52,13
"sj",2009,1,15
"sj",2009,2,14
"sj",2009,3,15
"sj",2009,4,12
"sj",2009,5,11
"sj",2009,6,9
"sj",2009,7,10
"sj",2009,8,7
"sj",2009,9,9
"sj",2009,10,6
"sj",2009,11,8
"sj",2009,12,6
"sj",2009,13,5
"sj",2009,14,5
"sj",2009,15,4
"sj",2009,16,6
"sj",2009,17,8
"sj",2009,18,7
"sj",2009,19,6
"sj",2009,20,10
"sj",2009,21,7
"sj",2009,22,21
"sj",2009,23,12
"sj",2009,24,17
"sj",2009,25,21
"sj",2009,26,21
"sj",2009,27,30
"sj",2009,28,57
"sj",2009,29,50
"sj",2009,30,56
"sj",2009,31,66
"sj",2009,32,66
"sj",2009,33,70
"sj",2009,34,68
"sj",2009,35,69
"sj",2009,36,85
"sj",2009,37,49
"sj",2009,38,65
"sj",2009,39,66
"sj",2009,40,83
"sj",2009,41,80
"sj",2009,42,81
"sj",2009,43,74
"sj",2009,44,52
"sj",2009,45,37
"sj",2009,46,29
"sj",2009,47,43
"sj",2009,48,38
"sj",2009,49,26
"sj",2009,50,24
"sj",2009,51,25
"sj",2009,52,24
"sj",2010,53,24
"sj",2010,1,16
"sj",2010,2,12
"sj",2010,3,15
"sj",2010,4,14
"sj",2010,5,10
"sj",2010,6,16
"sj",2010,7,15
"sj",2010,8,11
"sj",2010,9,14
"sj",2010,10,10
"sj",2010,11,7
"sj",2010,12,12
"sj",2010,13,14
"sj",2010,14,9
"sj",2010,15,7
"sj",2010,16,8
"sj",2010,17,20
"sj",2010,18,21
"sj",2010,19,12
"sj",2010,20,26
"sj",2010,21,25
"sj",2010,22,38
"sj",2010,23,67
"sj",2010,24,64
"sj",2010,25,29
"sj",2010,26,36
"sj",2010,27,62
"sj",2010,28,65
"sj",2010,29,40
"sj",2010,30,38
"sj",2010,31,64
"sj",2010,32,80
"sj",2010,33,81
"sj",2010,34,75
"sj",2010,35,100
"sj",2010,36,90
"sj",2010,37,77
"sj",2010,38,85
"sj",2010,39,73
"sj",2010,40,72
"sj",2010,41,88
"sj",2010,42,67
"sj",2010,43,63
"sj",2010,44,35
"sj",2010,45,43
"sj",2010,46,24
"sj",2010,47,23
"sj",2010,48,18
"sj",2010,49,19
"sj",2010,50,17
"sj",2010,51,15
"sj",2011,52,16
"sj",2011,1,13
"sj",2011,2,11
"sj",2011,3,13
"sj",2011,4,13
"sj",2011,5,12
"sj",2011,6,10
"sj",2011,7,11
"sj",2011,8,9
"sj",2011,9,8
"sj",2011,10,6
"sj",2011,11,6
"sj",2011,12,5
"sj",2011,13,6
"sj",2011,14,8
"sj",2011,15,7
"sj",2011,16,6
"sj",2011,17,7
"sj",2011,18,9
"sj",2011,19,7
"sj",2011,20,7
"sj",2011,21,11
"sj",2011,22,27
"sj",2011,23,22
"sj",2011,24,31
"sj",2011,25,51
"sj",2011,26,47
"sj",2011,27,34
"sj",2011,28,41
"sj",2011,29,35
"sj",2011,30,53
"sj",2011,31,46
"sj",2011,32,54
"sj",2011,33,67
"sj",2011,34,65
"sj",2011,35,60
"sj",2011,36,71
"sj",2011,37,76
"sj",2011,38,42
"sj",2011,39,57
"sj",2011,40,79
"sj",2011,41,62
"sj",2011,42,43
"sj",2011,43,30
"sj",2011,44,46
"sj",2011,45,35
"sj",2011,46,32
"sj",2011,47,29
"sj",2011,48,25
"sj",2011,49,20
"sj",2011,50,28
"sj",2011,51,17
"sj",2012,52,18
"sj",2012,1,18
"sj",2012,2,12
"sj",2012,3,15
"sj",2012,4,11
"sj",2012,5,10
"sj",2012,6,10
"sj",2012,7,10
"sj",2012,8,11
"sj",2012,9,8
"sj",2012,10,5
"sj",2012,11,5
"sj",2012,12,6
"sj",2012,13,7
"sj",2012,14,5
"sj",2012,15,7
"sj",2012,16,7
"sj",2012,17,6
"sj",2012,18,18
"sj",2012,19,8
"sj",2012,20,23
"sj",2012,21,16
"sj",2012,22,15
"sj",2012,23,25
"sj",2012,24,38
"sj",2012,25,61
"sj",2012,26,61
"sj",2012,27,42
"sj",2012,28,33
"sj",2012,29,41
"sj",2012,30,44
"sj",2012,31,56
"sj",2012,32,53
"sj",2012,33,65
"sj",2012,34,74
"sj",2012,35,39
"sj",2012,36,61
"sj",2012,37,76
"sj",2012,38,75
"sj",2012,39,83
"sj",2012,40,84
"sj",2012,41,63
"sj",2012,42,62
"sj",2012,43,67
"sj",2012,44,84
"sj",2012,45,57
"sj",2012,46,38
"sj",2012,47,49
"sj",2012,48,29
"sj",2012,49,23
"sj",2012,50,21
"sj",2012,51,17
"sj",2013,1,13
"sj",2013,2,16
"sj",2013,3,11
"sj",2013,4,11
"sj",2013,5,12
"sj",2013,6,9
"sj",2013,7,9
"sj",2013,8,9
"sj",2013,9,8
"sj",2013,10,9
"sj",2013,11,6
"sj",2013,12,5
"sj",2013,13,7
"sj",2013,14,6
"sj",2013,15,12
"sj",2013,16,15
"sj",2013,17,6
"iq",2010,26,6
"iq",2010,27,4
"iq",2010,28,7
"iq",2010,29,5
"iq",2010,30,4
"iq",2010,31,5
"iq",2010,32,6
"iq",2010,33,5
"iq",2010,34,6
"iq",2010,35,7
"iq",2010,36,7
"iq",2010,37,6
"iq",2010,38,11
"iq",2010,39,8
"iq",2010,40,27
"iq",2010,41,9
"iq",2010,42,15
"iq",2010,43,10
"iq",2010,44,10
"iq",2010,45,14
"iq",2010,46,12
"iq",2010,47,12
"iq",2010,48,15
"iq",2010,49,8
"iq",2010,50,12
"iq",2010,51,11
"iq",2011,52,12
"iq",2011,1,17
"iq",2011,2,15
"iq",2011,3,14
"iq",2011,4,13
"iq",2011,5,14
"iq",2011,6,14
"iq",2011,7,14
"iq",2011,8,14
"iq",2011,9,14
"iq",2011,10,10
"iq",2011,11,9
"iq",2011,12,8
"iq",2011,13,8
"iq",2011,14,8
"iq",2011,15,7
"iq",2011,16,7
"iq",2011,17,7
"iq",2011,18,8
"iq",2011,19,3
"iq",2011,20,5
"iq",2011,21,6
"iq",2011,22,4
"iq",2011,23,5
"iq",2011,24,5
"iq",2011,25,4
"iq",2011,26,4
"iq",2011,27,4
"iq",2011,28,3
"iq",2011,29,4
"iq",2011,30,3
"iq",2011,31,5
"iq",2011,32,6
"iq",2011,33,4
"iq",2011,34,4
"iq",2011,35,4
"iq",2011,36,4
"iq",2011,37,7
"iq",2011,38,8
"iq",2011,39,10
"iq",2011,40,7
"iq",2011,41,7
"iq",2011,42,12
"iq",2011,43,15
"iq",2011,44,11
"iq",2011,45,13
"iq",2011,46,13
"iq",2011,47,9
"iq",2011,48,10
"iq",2011,49,10
"iq",2011,50,19
"iq",2011,51,20
"iq",2012,52,8
"iq",2012,1,16
"iq",2012,2,14
"iq",2012,3,17
"iq",2012,4,13
"iq",2012,5,13
"iq",2012,6,16
"iq",2012,7,16
"iq",2012,8,14
"iq",2012,9,10
"iq",2012,10,10
"iq",2012,11,4
"iq",2012,12,5
"iq",2012,13,9
"iq",2012,14,5
"iq",2012,15,7
"iq",2012,16,9
"iq",2012,17,10
"iq",2012,18,6
"iq",2012,19,3
"iq",2012,20,8
"iq",2012,21,3
"iq",2012,22,4
"iq",2012,23,4
"iq",2012,24,4
"iq",2012,25,4
"iq",2012,26,5
"iq",2012,27,3
"iq",2012,28,4
"iq",2012,29,6
"iq",2012,30,6
"iq",2012,31,3
"iq",2012,32,5
"iq",2012,33,5
"iq",2012,34,8
"iq",2012,35,5
"iq",2012,36,4
"iq",2012,37,6
"iq",2012,38,8
"iq",2012,39,9
"iq",2012,40,11
"iq",2012,41,11
"iq",2012,42,10
"iq",2012,43,11
"iq",2012,44,10
"iq",2012,45,11
"iq",2012,46,15
"iq",2012,47,18
"iq",2012,48,12
"iq",2012,49,11
"iq",2012,50,12
"iq",2012,51,9
"iq",2013,1,14
"iq",2013,2,15
"iq",2013,3,15
"iq",2013,4,15
"iq",2013,5,17
"iq",2013,6,14
"iq",2013,7,14
"iq",2013,8,13
"iq",2013,9,13
"iq",2013,10,11
"iq",2013,11,10
"iq",2013,12,11
"iq",2013,13,9
"iq",2013,14,9
"iq",2013,15,6
"iq",2013,16,8
"iq",2013,17,7
"iq",2013,18,5
"iq",2013,19,8
"iq",2013,20,7
"iq",2013,21,4
"iq",2013,22,6
"iq",2013,23,4
"iq",2013,24,2
"iq",2013,25,4
"iq",2013,26,4
